step	gap	copy_win
000000	0.0008	0.4518
000050	0.0934	0.3847
000100	0.0852	0.3742
000150	0.0662	0.3833
000200	0.0720	0.3782
000250	0.0948	0.3658
000300	0.0870	0.3666
000350	0.0714	0.3409
000400	0.0597	0.3939
000450	0.0899	0.3547
000500	0.1049	0.3468
000550	0.0682	0.3474
000600	0.0901	0.3289
000650	0.0988	0.3586
000700	0.0852	0.3410
000750	0.1119	0.3612
000800	0.0688	0.3655
000850	0.0782	0.3595
000900	0.0889	0.3603
000950	0.0947	0.3306
001000	0.0807	0.3238
001050	0.0877	0.3548
001100	0.1044	0.3328
001150	0.0909	0.3087
001200	0.1022	0.3355
001250	0.1184	0.3048
001300	0.0352	0.3609
001350	0.1024	0.3191
001400	0.0525	0.3646
001450	0.0703	0.3512
