group_mode,condition,accuracy,class_avg_iou,instance_avg_iou,clean_subset_class_avg_iou,clean_subset_instance_avg_iou,damage_class_avg_iou,damage_instance_avg_iou,mean_retained_unique_points,mean_repeated_forward_points,metric_scope,logit_aggregation
fps_knn,clean,0.9356746368302018,0.8038475505399862,0.818842187854771,0.8038475505399862,0.818842187854771,0.0,0.0,2048.0,0.0,unique_retained_original_points,mean_by_original_index
fps_knn,random_keep20,0.8843525637761597,0.6784993586116229,0.7157815741076873,0.8016486612064952,0.8288818903289578,0.12314930259487233,0.11310031622127048,410.0,1640.7512178148922,unique_retained_original_points,mean_by_original_index
fps_knn,structured_keep20,0.8380119490130183,0.6033891289912198,0.6262812869785399,0.8557068562606205,0.8636840224971268,0.2523177272694007,0.23740273551858693,410.0,1640.7874043145441,unique_retained_original_points,mean_by_original_index
fps_knn,part_drop_largest,0.7615154413631983,0.4043662520509772,0.4878229728434442,0.5564564778000205,0.61189120387787,0.1520902257490433,0.12406823103442577,768.6496172581767,1366.5942936673625,unique_retained_original_points,mean_by_original_index
fps_knn,part_keep20_per_part,0.8861304220777014,0.6832900076690253,0.7162297719274925,0.8041784514596823,0.8252118091297751,0.120888443790657,0.10898203720228261,409.6116910229645,1641.1437021572722,unique_retained_original_points,mean_by_original_index
fps_knn,xyz_zero,0.5551662670711552,0.29344854556895483,0.3400282854271776,0.799372089599818,0.8179239314830791,0.5059235440308631,0.47789564605590146,2048.0,0.0,unique_retained_original_points,mean_by_original_index
random_center_knn,clean,0.9215190677735734,0.7547119487679661,0.7812286195353484,0.7547119487679661,0.7812286195353484,0.0,0.0,2048.0,0.0,unique_retained_original_points,mean_by_original_index
random_center_knn,random_keep20,0.8648794066228762,0.646147200638056,0.6859795585385493,0.7602890355281295,0.7916308121873112,0.11414183489007357,0.10565125364876193,410.0,1640.7512178148922,unique_retained_original_points,mean_by_original_index
random_center_knn,structured_keep20,0.8264762292716873,0.5919371519256047,0.6246043150776467,0.8200927953500511,0.8431480855984322,0.22815564342444639,0.21854377052078555,410.0,1640.7874043145441,unique_retained_original_points,mean_by_original_index
random_center_knn,part_drop_largest,0.7473843558707384,0.39862039558802465,0.4808322961670434,0.5401467489896754,0.5892441801728627,0.14152635340165076,0.1084118840058193,768.1551844119693,1366.972512178149,unique_retained_original_points,mean_by_original_index
random_center_knn,part_keep20_per_part,0.863690726973729,0.6462901231201637,0.6829689439133434,0.7563059164694383,0.7887944791263929,0.1100157933492747,0.1058255352130495,409.62560890744606,1641.1123869171886,unique_retained_original_points,mean_by_original_index
random_center_knn,xyz_zero,0.5551530151791928,0.2931345379192061,0.339981351643144,0.7572652831742149,0.7841751918435147,0.46413074525500886,0.44419384020037067,2048.0,0.0,unique_retained_original_points,mean_by_original_index
voxel_center_knn,clean,0.9287216409512005,0.7823320777225139,0.8113944335945118,0.7823320777225139,0.8113944335945118,0.0,0.0,2048.0,0.0,unique_retained_original_points,mean_by_original_index
voxel_center_knn,random_keep20,0.8815554084559635,0.6710046817710831,0.7207172580938942,0.7819566273963089,0.8231882823257437,0.11095194562522581,0.1024710242318495,410.0,1640.7512178148922,unique_retained_original_points,mean_by_original_index
voxel_center_knn,structured_keep20,0.8343822665784069,0.5915815550151876,0.6260189793391162,0.842032947734445,0.8608547088321504,0.2504513927192574,0.23483572949303422,410.0,1640.7874043145441,unique_retained_original_points,mean_by_original_index
voxel_center_knn,part_drop_largest,0.761519715936207,0.3981048113816904,0.48543743888344776,0.559610163198994,0.6106872801495727,0.16150535181730363,0.12524984126612498,768.4474599860821,1366.6492693110647,unique_retained_original_points,mean_by_original_index
voxel_center_knn,part_keep20_per_part,0.8831453344013835,0.6728088804152275,0.7171232451402458,0.7822679049181304,0.8161022471448283,0.1094590245029029,0.09897900200458243,409.61134307585246,1641.1645789839945,unique_retained_original_points,mean_by_original_index
voxel_center_knn,xyz_zero,0.5548641918928323,0.2934083719061108,0.34015460314094753,0.7845550998287709,0.8138013531329032,0.4911467279226601,0.4736467499919557,2048.0,0.0,unique_retained_original_points,mean_by_original_index
radius_fps,clean,0.9338791753653445,0.7982545485484118,0.8180841907814858,0.7982545485484118,0.8180841907814858,0.0,0.0,2048.0,0.0,unique_retained_original_points,mean_by_original_index
radius_fps,random_keep20,0.8824422492659164,0.6745116534724465,0.7126028564985138,0.7960743831589427,0.8295919243955923,0.12156272968649628,0.11698906789707841,410.0,1640.7512178148922,unique_retained_original_points,mean_by_original_index
radius_fps,structured_keep20,0.8380085544070472,0.610355053568333,0.6262011158804348,0.8586225162713907,0.8644164684161558,0.24826746270305777,0.23821535253572101,410.0,1640.7874043145441,unique_retained_original_points,mean_by_original_index
radius_fps,part_drop_largest,0.7610571958968407,0.3946499504346085,0.4840385467840949,0.5659259652608215,0.6165303607640485,0.17127601482621302,0.13249181397995363,768.6593597773139,1366.6461377870564,unique_retained_original_points,mean_by_original_index
radius_fps,part_keep20_per_part,0.8811854275552702,0.6749215312917403,0.7109804952283377,0.7999044316445666,0.8253102264161278,0.12498290035282633,0.1143297311877901,409.625260960334,1641.1290883785664,unique_retained_original_points,mean_by_original_index
radius_fps,xyz_zero,0.5550748629958246,0.2932133850287124,0.34011698532369955,0.7976629407765754,0.8190774754976912,0.504449555747863,0.4789604901739916,2048.0,0.0,unique_retained_original_points,mean_by_original_index
random_group,clean,0.6603050789405011,0.43944878630819695,0.47143351823236446,0.43944878630819695,0.47143351823236446,0.0,0.0,2048.0,0.0,unique_retained_original_points,mean_by_original_index
random_group,random_keep20,0.6607150737478147,0.4287336876727558,0.4623762878453322,0.4434094601507599,0.4753681522767818,0.014675772478004057,0.012991864431449618,410.0,1640.7512178148922,unique_retained_original_points,mean_by_original_index
random_group,structured_keep20,0.712013510531765,0.5108082130531909,0.5386571282505696,0.5831417558152371,0.5937898097481958,0.07233354276204618,0.05513268149762629,410.0,1640.7874043145441,unique_retained_original_points,mean_by_original_index
random_group,part_drop_largest,0.5476064650464536,0.23464116978066205,0.3612283131289603,0.26547905371941405,0.4135862125097332,0.030837883938752003,0.0523578993807729,769.0194850382742,1366.7129436325679,unique_retained_original_points,mean_by_original_index
random_group,part_keep20_per_part,0.659964238236206,0.4232976868527569,0.458661784582004,0.4392642639467508,0.47556475737215825,0.01596657709399385,0.016902972790154236,409.6155184411969,1641.1304801670146,unique_retained_original_points,mean_by_original_index
random_group,xyz_zero,0.5552471375913361,0.29341643372323845,0.33969807829444304,0.4381370009404154,0.47232626677283746,0.14472056721717697,0.13262818847839442,2048.0,0.0,unique_retained_original_points,mean_by_original_index
